Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Ford,Escape,2008,Gray,Nigerian Used,171421,Automatic,"2,115,000"
Lexus,RX 300,1999,Black,Nigerian Used,167619,Automatic,"1,800,000"
Nissan,Pathfinder,2002,LE AWD SUV (3.5L 6cyl 4A),Black,Nigerian Used,Automatic,"2,587,500"
Toyota,Corolla,2008,Silver,Nigerian Used,351281,Automatic,"1,912,500"
Mitsubishi,Montero,2002,Red,Nigerian Used,92110,Automatic,"4,500,000"
Lexus,IS,2007,White,Nigerian Used,107802,Automatic,"2,812,500"
Toyota,Camry,2017,Blue,Foreign Used,117784,Automatic,"17,437,500"
Nissan,Xterra,2002,Yellow,Nigerian Used,563793,Automatic,"1,687,500"
BMW,X5,2005,Green,Nigerian Used,127052,Automatic,"1,912,500"
Toyota,Camry,2008,White,Nigerian Used,105647,Automatic,"3,375,000"
Peugeot,307,2004,Blue,Nigerian Used,357364,Automatic,"2,812,500"
Honda,Accord,2013,Sport 4dr Sedan FWD (2.4L 4cyl 2A),Silver,Nigerian Used,CVT,"6,412,500"
Acura,MDX,2003,Silver,Nigerian Used,300489,Automatic,"2,812,500"
Toyota,Camry,2002,Red,Nigerian Used,204003,Automatic,"2,250,000"
Toyota,Corolla,2008,Black,Nigerian Used,172453,Automatic,"2,587,500"
Hyundai,Santa Fe,2008,Burgandy,Nigerian Used,407774,Automatic,"3,150,000"
Toyota,Tacoma,1996,Red,Nigerian Used,161143,Manual,"3,937,500"
Toyota,Highlander,2012,White,Nigerian Used,175125,Automatic,"9,000,000"
Mercedes-Benz,GL-Class,2013,GL 550,Gold,Nigerian Used,Automatic,"18,000,000"
Toyota,Sienna,2002,Blue,Nigerian Used,436042,Automatic,"2,250,000"
Lexus,RX,2002,Silver,Nigerian Used,141509,Automatic,"3,150,000"
Nissan,Almera,2013,Brown,Nigerian Used,147827,Automatic,"4,500,000"
Toyota,Sienna,2012,Gray,Nigerian Used,190872,Automatic,"7,312,500"
Honda,CR-V,2001,2.0 4WD Automatic,Black,Nigerian Used,Automatic,"1,170,000"
Toyota,Camry,2008,2.4 LE,Gray,Nigerian Used,Automatic,"4,050,000"
Honda,Accord,2009,Gray,Nigerian Used,215339,Automatic,"2,925,000"
Honda,CR-V,2008,Black,Nigerian Used,186597,Automatic,"2,700,000"
Toyota,Avensis,2007,Black,Nigerian Used,271284,Automatic,"2,081,250"
Toyota,Camry,2007,Gold,Nigerian Used,147672,Automatic,"3,656,250"
Toyota,RAV4,2003,Gold,Nigerian Used,234302,Automatic,"2,812,500"
Toyota,Corolla Verso,2004,Silver,Foreign Used,257924,Manual,"4,668,750"
Toyota,Avalon,2007,Touring,Gray,Nigerian Used,Automatic,"3,037,500"
Ford,Fusion,2014,Blue,Foreign Used,292190,Automatic,"6,255,000"
Nissan,Almera,2005,Black,Nigerian Used,182351,Manual,"1,192,500"
BMW,X5,2001,Red,Nigerian Used,338508,Automatic,"1,687,500"
Toyota,Corolla,2009,Silver,Nigerian Used,236342,Automatic,"3,487,500"
Toyota,Highlander,2004,Gray,Nigerian Used,266381,Automatic,"4,275,000"
Toyota,4-Runner,2014,Gray,Nigerian Used,131150,Automatic,"11,250,000"
Nissan,Altima,2009,Red,Nigerian Used,223619,Automatic,"2,812,500"
Land Rover,Range Rover Sport,2014,Supercharged 4dr SUV 4WD (5.0L 8cyl S/C 8A),Black,Nigerian Used,Automatic,"18,562,500"
Suzuki,Grand Vitara,2010,Blue,Nigerian Used,143720,Automatic,"3,375,000"
Lincoln,Town Car,2003,Black,Nigerian Used,243806,Automatic,"2,812,500"
Mercedes-Benz,C280,2008,Black,Nigerian Used,3000,Automatic,"2,475,000"
Acura,MDX,2007,Red,Foreign Used,102331,Automatic,"3,150,000"
Toyota,Land Cruiser Prado,2012,Black,Nigerian Used,92638,Automatic,"18,000,000"
Honda,Accord,2008,Teal,Foreign Used,129102,Automatic,"3,375,000"
Toyota,Camry,2007,Silver,Nigerian Used,293875,Automatic,"3,037,500"
Toyota,Corolla,2004,Black,Nigerian Used,353411,Automatic,"2,700,000"
Mercedes-Benz,CLA-Class,2016,White,Foreign Used,8893,Automatic,"15,750,000"
Nissan,Almera,2000,Silver,Nigerian Used,137690,Manual,"1,575,000"
Lexus,RX 300,1999,Gold,Nigerian Used,281753,Automatic,"2,137,500"
Mercedes-Benz,M Class,2009,ML350 AWD 4MATIC,Black,Nigerian Used,Automatic,"5,625,000"
Kia,Rio,2009,Blue,Nigerian Used,97356,Automatic,"1,181,250"
Kia,Sportage,2008,Black,Nigerian Used,140467,Automatic,"1,732,500"
Toyota,Sienna,2005,Green,Nigerian Used,116238,Automatic,"2,362,500"
Toyota,Sienna,2008,Blue,Nigerian Used,123525,Automatic,"3,299,062"
Jeep,Cherokee,2013,White,Nigerian Used,29349,Automatic,"9,000,000"
