Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Toyota,Highlander,2010,Green,Nigerian Used,91753,Automatic,"6,400,000"
Acura,CSX,2006,Black,Nigerian Used,248106,Automatic,"2,100,000"
Lexus,RX 350,2010,Blue,Foreign Used,176245,Automatic,"12,937,500"
Toyota,Highlander,2008,Green,Nigerian Used,92062,Automatic,"7,280,000"
Cadillac,CTS,2008,Black,Foreign Used,330469,Automatic,"2,310,000"
Honda,Odyssey,2007,Red,Foreign Used,213087,Automatic,"3,185,000"
Toyota,Camry,2007,Blue,Nigerian Used,317736,Automatic,"3,150,000"
Honda,Pilot,2003,Blue,Nigerian Used,184613,Automatic,"2,600,000"
Lexus,RX 300,2000,Silver,Nigerian Used,174428,Automatic,"2,100,000"
Toyota,Camry,2003,Black,Nigerian Used,311981,Automatic,"3,016,000"
Toyota,Corolla,2007,Blue,Nigerian Used,187595,Automatic,"2,596,500"
Lexus,RX 300,2002,Gray,Nigerian Used,109289,Automatic,"1,680,000"
BMW,328i,2010,Blue,Nigerian Used,227077,Automatic,"5,512,500"
Toyota,Camry,2005,Gold,Nigerian Used,563895,Automatic,"2,600,000"
Toyota,Tundra,2011,Gray,Foreign Used,498161,Automatic,"14,040,000"
Toyota,Matrix,2007,White,Nigerian Used,164693,Automatic,"2,808,000"
Mazda,3,2008,Blue,Nigerian Used,463776,Automatic,"2,100,000"
Mercedes-Benz,E350,2013,Silver,Nigerian Used,351534,Automatic,"6,868,000"
Dodge,RAM,2009,Black,Foreign Used,136845,Automatic,"13,650,000"
BMW,320i,2012,Gray,Nigerian Used,2000,Automatic,"10,500,000"
Toyota,Camry,2002,Gold,Nigerian Used,248673,Automatic,"2,080,000"
Toyota,Sienna,2009,Gray,Foreign Used,39575,Automatic,"4,998,000"
Land Rover,Range Rover,2012,Gray,Nigerian Used,186364,Automatic,"7,140,000"
Toyota,Highlander,2005,Gray,Foreign Used,277857,Automatic,"5,775,000"
Ford,Edge,2013,Gray,Foreign Used,153700,Automatic,"5,985,000"
Ford,Fusion,2012,Red,Nigerian Used,70786,Automatic,"2,205,000"
Opel,Zafira,2001,Black,Nigerian Used,253414,Manual,"2,100,000"
Toyota,Corolla,2010,Gray,Nigerian Used,242052,Automatic,"3,355,000"
Lexus,GX,2008,Gray,Nigerian Used,130791,Automatic,"6,090,000"
Ford,Ranger,2004,Silver,Nigerian Used,248998,Manual,"2,415,000"
Toyota,RAV4,2007,Red,Nigerian Used,134022,Automatic,"3,235,050"
BMW,X5,2000,Red,Nigerian Used,346056,Automatic,"4,200,000"
Toyota,Camry,2007,Red,Nigerian Used,401491,Automatic,"4,368,000"
Toyota,RAV4,2007,White,Nigerian Used,320430,Automatic,"2,646,000"
Honda,CR-V,2006,Silver,Nigerian Used,123521,Automatic,"1,732,500"
Lexus,IS,2006,Black,Nigerian Used,152029,Automatic,"3,412,500"
Hyundai,Elantra,2013,Gray,Nigerian Used,91719,Automatic,"3,360,000"
Ford,Escape,2016,Black,Nigerian Used,91032,Automatic,"5,250,000"
Toyota,RAV4,2007,Blue,Nigerian Used,181929,Automatic,"3,024,000"
Volkswagen,Golf,2008,1.6 FSi Comfortline Automatic,Gray,Nigerian Used,Automatic,"1,627,500"
Toyota,Sienna,2005,White,Nigerian Used,4023356,Automatic,"2,730,000"
Kia,Cerato,2009,Gray,Nigerian Used,128554,Automatic,"3,150,000"
Lexus,ES,2007,Black,Nigerian Used,123404,Automatic,"4,680,000"
Toyota,Corolla,2006,Silver,Nigerian Used,291721,Automatic,"1,470,000"
Honda,Accord,2007,Gray,Nigerian Used,257626,Automatic,"2,600,000"
Lexus,RX,1999,Silver,Nigerian Used,354529,Automatic,"1,155,000"
Honda,Jazz,2009,Blue,Nigerian Used,137846,Manual,"3,150,000"
Nissan,Frontier,2013,Gray,Nigerian Used,111305,Automatic,"6,300,000"
Brand New,No faults,Suzuki,Jimny,2022,Gold,Automatic,"21,658,000"
Toyota,Camry,2007,LE 4dr Sedan (2.4L 4cyl 5A),Black,Nigerian Used,Automatic,"2,782,500"
Mazda,3,2004,Gray,Nigerian Used,247815,Automatic,"1,890,000"
Toyota,Avalon,2005,Black,Nigerian Used,218867,Automatic,"2,058,000"
Mercedes-Benz,C180,2003,Silver,Nigerian Used,10112,Manual,"1,260,000"
Brand New,No faults,Suzuki,Alto,2022,Red,Manual,"7,840,000"
Mercedes-Benz,C300,2019,Black,Foreign Used,21877,Automatic,"16,800,000"
Honda,Civic,2008,Black,Nigerian Used,210186,Automatic,"1,627,500"
Lexus,GX,2008,470 Sport Utility,Black,Nigerian Used,Automatic,"8,320,000"
Brand New,No faults,Suzuki,Swift,2022,Blue,Automatic,"13,426,000"
Brand New,No faults,Suzuki,Vitara,2022,Silver,Automatic,"20,090,000"
Honda,Accord,1999,Silver,Nigerian Used,221709,Automatic,"1,040,000"
Mercedes-Benz,GL-Class,2013,White,Nigerian Used,160932,Automatic,"11,250,000"
Toyota,Sienna,2003,Gray,Nigerian Used,225159,Automatic,"2,600,000"
Toyota,Corolla,2007,Gray,Nigerian Used,299999,Automatic,"2,912,000"
Ford,F-150,2012,Black,Foreign Used,3500,Automatic,"2,887,500"
Toyota,Highlander,2002,Base FWD,Gold,Nigerian Used,Automatic,"3,640,000"
Lexus,IS,2006,Silver,Nigerian Used,100194,Automatic,"4,680,000"
Toyota,Highlander,2004,Silver,Nigerian Used,139460,Automatic,"3,640,000"
Infiniti,G35,2004,Black,Nigerian Used,212562,Automatic,"1,050,000"
Honda,Accord,2008,White,Nigerian Used,112585,Automatic,"1,575,000"
Mercedes-Benz,B-Class,2008,Red,Nigerian Used,238043,Automatic,"3,360,000"
Toyota,Sienna,2006,Blue,Nigerian Used,447327,Automatic,"2,488,500"
Lexus,ES,2004,Silver,Nigerian Used,90865,Automatic,"2,912,000"
Toyota,Camry,2020,Red,Foreign Used,33380,Automatic,"15,750,000"
Toyota,RAV4,2010,Gray,Foreign Used,305002,Automatic,"6,720,000"
Hyundai,Accent,2014,Black,Nigerian Used,92013,Automatic,"2,478,000"
Honda,Accord,2007,Red,Nigerian Used,442380,Automatic,"2,340,000"
Toyota,Avalon,2009,Blue,Nigerian Used,211961,Automatic,"2,520,000"
Ford,Explorer,2016,4dr SUV (3.5L 6cyl 6A),Black,Nigerian Used,Automatic,"12,520,000"
Mercedes-Benz,M Class,2015,Gray,Nigerian Used,69623,Automatic,"14,248,000"
Ford,Focus,2014,Black,Nigerian Used,52626,Automatic,"3,150,000"
Toyota,Camry,2012,Black,Nigerian Used,207888,Automatic,"4,935,000"
Nissan,Xterra,2004,Teal,Nigerian Used,191331,Automatic,"1,560,000"
Volkswagen,Passat,2003,Silver,Nigerian Used,259111,Manual,"1,050,000"
Toyota,Camry,2009,Gray,Nigerian Used,198900,Automatic,"2,987,250"
Toyota,Sienna,2007,Blue,Nigerian Used,178523,Automatic,"2,415,000"
Lexus,ES,2005,Green,Nigerian Used,262622,Automatic,"3,375,000"
Toyota,Sienna,2005,LE AWD,Blue,Nigerian Used,Automatic,"2,810,850"
Nissan,Xterra,2001,Green,Nigerian Used,238999,Automatic,"1,260,000"
Toyota,Sienna,2009,Red,Nigerian Used,102460,Automatic,"3,255,000"
Toyota,Camry,2001,LE 4dr Sedan (2.2L 4cyl 4A),Gray,Nigerian Used,Automatic,"1,872,000"
Brand New,No faults,Suzuki,Vitara,2022,Silver,Automatic,"22,540,000"
Mercedes-Benz,C200,2000,Green,Foreign Used,118387,Automatic,"2,940,000"
Brand New,No faults,Suzuki,Dzire,2022,Gold,Automatic,"12,642,000"
Volvo,XC60,2013,Blue,Nigerian Used,85118,Automatic,"5,775,000"
Toyota,4-Runner,2003,Silver,Nigerian Used,114638,Automatic,"2,454,375"
Toyota,Camry,2007,LE V6 4dr Sedan (3.5L 6cyl 6AM),Red,Foreign Used,Automatic,"5,200,000"
Hyundai,Sonata,2015,Black,Nigerian Used,126056,Automatic,"9,360,000"
Honda,Accord,2000,Gold,Nigerian Used,324310,Automatic,"661,500"
Honda,Accord,2005,Gray,Nigerian Used,121000,Automatic,"1,365,000"
Land Rover,Lr3,2006,Silver,Nigerian Used,227967,Automatic,"2,730,000"
Lexus,ES,2007,350,Silver,Nigerian Used,Automatic,"4,592,000"
Honda,CR-V,2008,Red,Nigerian Used,255955,Automatic,"3,640,000"
Toyota,RAV4,2007,Silver,Nigerian Used,384426,Automatic,"3,744,000"
BMW,Z4,2003,White,Nigerian Used,2500,Automatic,"2,625,000"
Kia,Rio,2015,Black,Nigerian Used,138586,Automatic,"3,200,000"
Toyota,Camry,2004,Blue,Nigerian Used,160375,Automatic,"2,100,000"
Toyota,Camry,2010,Blue,Nigerian Used,221404,Automatic,"3,640,000"
Lexus,RX 300,2002,Black,Nigerian Used,297821,Automatic,"2,600,000"
Mini,Cooper,2014,Black,Foreign Used,134338,Automatic,"8,925,000"
Toyota,Avalon,2015,Black,Nigerian Used,122556,Automatic,"5,775,000"
Honda,Accord,2013,Silver,Nigerian Used,150101,Automatic,"4,935,000"
Toyota,Camry,2013,Black,Nigerian Used,106290,Automatic,"5,720,000"
Toyota,Avalon,2001,Red,Nigerian Used,225296,Automatic,"2,100,000"
Mercedes-Benz,GL-Class,2008,Burgandy,Foreign Used,106974,Automatic,"6,195,000"
Toyota,Highlander,2009,Black,Nigerian Used,226445,Automatic,"7,072,000"
Honda,CR-V,2004,Green,Nigerian Used,400608,Automatic,"1,872,000"
Volkswagen,Golf,1999,Black,Foreign Used,368984,Manual,"2,100,000"
Nissan,X-Trail,2005,Silver,Nigerian Used,123741,Manual,"1,260,000"
Honda,Accord,2006,Gray,Nigerian Used,141364,Automatic,"2,080,000"
Ford,Explorer,2016,Black,Nigerian Used,81208,Automatic,"9,975,000"
Toyota,Camry,2005,Gold,Foreign Used,337850,Automatic,"3,339,000"
Ford,Edge,2008,Blue,Nigerian Used,212774,Automatic,"1,575,000"
Hyundai,Creta,2016,Black,Nigerian Used,95511,Automatic,"4,725,000"
Volkswagen,Passat,1997,White,Nigerian Used,231521,Manual,"735,000"
Toyota,Sienna,2005,Gold,Foreign Used,333706,Automatic,"6,448,000"
Infiniti,FX35,2005,Black,Nigerian Used,156163,Automatic,"2,100,000"
Honda,Pilot,2007,Black,Nigerian Used,164667,Automatic,"2,600,000"
Lexus,RX 300,1999,Gray,Nigerian Used,421241,Automatic,"1,995,000"
Lexus,RX 330,2004,Black,Nigerian Used,175330,Automatic,"3,150,000"
Nissan,Frontier,2006,King Cab,Gray,Foreign Used,Automatic,"4,725,000"
Honda,Accord,2005,Blue,Nigerian Used,2400,Automatic,"945,000"
Toyota,Corolla,2005,Sedan,Red,Nigerian Used,Automatic,"2,625,000"
Mercedes-Benz,GLK-Class,2012,Black,Nigerian Used,301274,Automatic,"7,592,000"
Honda,Accord,1999,Gold,Nigerian Used,2300,Automatic,"1,040,000"
Toyota,4-Runner,2004,SR5 4x4,Blue,Nigerian Used,Automatic,"1,470,000"
Toyota,RAV4,2013,Black,Nigerian Used,23236,Automatic,"7,380,000"
Toyota,Sienna,2005,CE,Beige,Foreign Used,Automatic,"5,200,000"
Toyota,Sequoia,2005,Limited 4dr SUV 4WD (4.7L 8cyl 5A),Black,Nigerian Used,Automatic,"2,912,000"
Audi,Q7,2010,Brown,Nigerian Used,245100,Automatic,"9,975,000"
Toyota,Highlander,2005,Gold,Nigerian Used,121698,Automatic,"3,150,000"
Honda,Accord,2005,Hybrid LX V6 Automatic,Gray,Nigerian Used,Automatic,"1,260,000"
Honda,Pilot,2005,Silver,Nigerian Used,338619,Automatic,"2,392,000"
Toyota,Camry,2015,Black,Nigerian Used,114979,Automatic,"7,592,000"
Toyota,Camry,2012,Black,Nigerian Used,208292,Automatic,"4,410,000"
Ford,Edge,2010,Limited 4dr AWD (3.5L 6cyl 6A),Black,Nigerian Used,Automatic,"2,793,000"
Toyota,Camry,2007,Gold,Nigerian Used,94244,Automatic,"2,730,000"
Nissan,Almera,1998,Blue,Nigerian Used,1400,Manual,"577,500"
Volkswagen,Transporter,1998,Green,Nigerian Used,462537,Manual,"2,100,000"
Honda,Accord,1999,Black,Nigerian Used,287132,Manual,"1,050,000"
Toyota,Camry,2005,Gray,Nigerian Used,277158,Automatic,"1,995,000"
Toyota,Highlander,2003,V6 FWD,Silver,Nigerian Used,Automatic,"4,160,000"
Toyota,Camry,2008,Silver,Nigerian Used,90538,Automatic,"3,640,000"
Toyota,RAV4,2007,Gold,Nigerian Used,115431,Automatic,"3,952,000"
Lexus,RX 300,2001,Gray,Nigerian Used,323498,Automatic,"2,704,000"
Toyota,Corolla,2010,Black,Foreign Used,219361,Automatic,"6,448,000"
Honda,Odyssey,2003,Gray,Nigerian Used,245953,Automatic,"1,484,000"
Toyota,Sienna,2004,Green,Nigerian Used,112332,Automatic,"4,160,000"
Brand New,No faults,Suzuki,Ertiga,2022,Silver,Automatic,"17,542,000"
Acura,TL,2011,Red,Nigerian Used,325818,Automatic,"3,990,000"
Kia,Sorento,2005,Silver,Nigerian Used,224138,Automatic,"1,260,000"
Toyota,Tundra,2008,White,Foreign Used,156694,Automatic,"9,450,000"
Toyota,Highlander,2009,Sport,Silver,Foreign Used,Automatic,"10,400,000"
Mercedes-Benz,GLC-Class,2016,Silver,Foreign Used,105021,Automatic,"20,349,000"
Honda,Accord,2000,Green,Nigerian Used,181209,Automatic,"1,580,000"
Kia,Mohave,2009,Black,Nigerian Used,940004,Automatic,"3,360,000"
BMW,530i,2006,Gray,Nigerian Used,149367,Automatic,"3,885,000"
Toyota,Sienna,2011,Gray,Foreign Used,141022,Automatic,"8,190,000"
Toyota,Camry,2007,Gold,Nigerian Used,314735,Automatic,"2,940,000"
Toyota,Venza,2013,Gray,Foreign Used,78225,Automatic,"9,975,000"
Toyota,Camry,2008,Black,Nigerian Used,2400,Automatic,"3,640,000"
Honda,Accord,2008,White,Nigerian Used,562934,Automatic,"5,200,000"
Lexus,ES,2004,Black,Nigerian Used,311492,Automatic,"2,446,500"
Toyota,Land Cruiser Prado,2010,Black,Nigerian Used,77937,Automatic,"12,075,000"
Lexus,GX,2004,Blue,Nigerian Used,207301,AMT,"2,835,000"
Toyota,Avalon,2013,Burgandy,Nigerian Used,70418,Automatic,"6,800,000"
Toyota,RAV4,2000,Black,Nigerian Used,110197,Automatic,"1,352,000"
Honda,Accord,2016,Touring 4dr Sedan FWD (3.5L 6cyl 6A),Black,Foreign Used,Automatic,"12,080,000"
Ford,F-150,2005,Black,Nigerian Used,385147,Automatic,"3,045,000"
Honda,Pilot,2006,Gray,Nigerian Used,282569,Automatic,"2,313,400"
Honda,Accord,2007,Gold,Nigerian Used,215670,Automatic,"1,470,000"
Nissan,Pathfinder,2005,SE,Black,Nigerian Used,Automatic,"1,672,650"
Acura,TL,2010,Gray,Foreign Used,128399,Automatic,"5,720,000"
Lexus,RX 300,2002,Gold,Nigerian Used,130319,Automatic,"2,100,000"
Toyota,Camry,2010,Black,Nigerian Used,321489,Automatic,"3,213,000"
Toyota,Camry,2008,Gray,Nigerian Used,223830,Automatic,"3,150,000"
Brand New,No faults,Suzuki,Van,2022,White,Manual,"9,800,000"
Acura,TL,2005,Silver,Nigerian Used,1,Automatic,"1,575,000"
Toyota,Sienna,2008,Silver,Foreign Used,159329,Automatic,"4,305,000"
Lexus,ES,2002,White,Nigerian Used,156742,Automatic,"2,100,000"
Brand New,No faults,Suzuki,S-Presso,2022,Silver,Automatic,"10,290,000"
Acura,MDX,2007,Brown,Nigerian Used,138939,Automatic,"1,890,000"
Toyota,Corolla,2003,Sedan,Red,Nigerian Used,Automatic,"2,205,000"
Toyota,Camry,2006,Gray,Nigerian Used,172269,Automatic,"2,912,000"
Toyota,Camry,2002,LE 4dr Sedan (2.4L 4cyl 5M),Silver,Nigerian Used,Automatic,"2,288,000"
Ford,Edge,2007,Orange,Nigerian Used,278496,Automatic,"2,205,000"
Mercedes-Benz,C350,2011,Blue,Nigerian Used,169914,Automatic,"5,824,000"
Toyota,Camry,2007,Gray,Nigerian Used,224432,Automatic,"3,357,778"
Peugeot,406,2004,2.0 HDi ST,Black,Nigerian Used,Manual,"2,288,000"
Lexus,RX 300,1999,Blue,Nigerian Used,140384,Automatic,"2,392,000"
Land Rover,Range Rover,2019,Black,Nigerian Used,19883,Automatic,"63,000,000"
Mercedes-Benz,C240,2005,Black,Nigerian Used,355015,Automatic,"3,120,000"
Kia,Cerato,2010,Black,Nigerian Used,163149,Automatic,"2,496,000"
Mitsubishi,SpaceWagon,1999,Silver,Nigerian Used,245967,Automatic,"1,365,000"
Toyota,Camry,2014,Black,Foreign Used,89208,Automatic,"6,300,000"
Toyota,Sienna,2006,White,Foreign Used,280658,Automatic,"4,410,000"
Mercedes-Benz,C250,2011,White,Nigerian Used,130298,Manual,"4,200,000"
Mazda,323,2002,Silver,Foreign Used,336282,Manual,"2,310,000"
Toyota,Venza,2012,Black,Nigerian Used,270826,Automatic,"7,800,000"
Kia,Cerato,2014,Silver,Nigerian Used,74843,Automatic,"3,712,500"
Hyundai,Santa Fe,2013,Gray,Foreign Used,120674,Automatic,"10,500,000"
Chevrolet,Orlando,2011,Gray,Nigerian Used,108932,Manual,"7,140,000"
Nissan,Murano,2010,SL,Red,Nigerian Used,CVT,"2,835,000"
Mitsubishi,ASX,2011,Silver,Nigerian Used,133882,Automatic,"4,725,000"
Toyota,Corolla,2004,Gold,Nigerian Used,298033,Automatic,"2,912,000"
Volkswagen,Golf,2005,Silver,Foreign Used,123852,Manual,"2,887,500"
Toyota,Venza,2009,V6,Red,Nigerian Used,Automatic,"4,200,000"
Mercedes-Benz,190E,1988,Gold,Nigerian Used,186815,Automatic,"892,500"
Toyota,Sienna,2008,Red,Nigerian Used,374110,Automatic,"2,625,000"
Ford,Explorer,2003,4.6,Blue,Nigerian Used,Automatic,"1,575,000"
Brand New,No faults,Suzuki,Ciaz,2022,Brown,Automatic,"17,444,000"
Mercedes-Benz,C300,2003,Black,Nigerian Used,194700,Automatic,"2,310,000"
Ford,Edge,2013,Limited 4dr AWD (3.5L 6cyl 6A),Burgandy,Nigerian Used,Automatic,"3,675,000"
Toyota,Camry,2008,Green,Nigerian Used,243458,Automatic,"3,536,000"
Acura,MDX,2005,Gray,Nigerian Used,300065,Automatic,"3,120,000"
Toyota,Sienna,2000,White,Foreign Used,119889,Automatic,"2,100,000"
Mercedes-Benz,C300,2009,White,Nigerian Used,3000,Automatic,"4,680,000"
Toyota,Land Cruiser,2014,Black,Nigerian Used,144341,Automatic,"46,800,000"
Land Rover,Discovery,2018,Gray,Nigerian Used,50237,Automatic,"44,100,000"
Mitsubishi,Lancer,2009,Black,Nigerian Used,164712,Automatic,"2,100,000"
Toyota,Camry,2008,Black,Nigerian Used,110364,Automatic,"3,255,000"
Toyota,Sequoia,2004,Black,Nigerian Used,394917,Automatic,"3,640,000"
Lexus,GS,2002,430,Red,Nigerian Used,Automatic,"1,890,000"
Mercedes-Benz,GLK-Class,2013,Gray,Nigerian Used,80016,Automatic,"7,875,000"
Toyota,Highlander,2003,Blue,Foreign Used,226186,Automatic,"5,616,000"
Hyundai,Sonata,2008,Silver,Nigerian Used,169705,Automatic,"2,652,000"
Toyota,Sienna,2005,Blue,Nigerian Used,392831,Automatic,"2,940,000"
Acura,ZDX,2013,Black,Nigerian Used,4786,Automatic,"7,350,000"
Nissan,Primera,1998,Silver,Nigerian Used,296551,Manual,"1,050,000"
Nissan,Titan,2007,White,Foreign Used,362428,Automatic,"9,450,000"
Mercedes-Benz,M Class,2007,Blue,Foreign Used,212469,Automatic,"4,935,000"
Volvo,XC90,2005,T6 AWD,Gray,Nigerian Used,Automatic,"1,806,000"
Infiniti,FX35,2004,Silver,Nigerian Used,125959,Automatic,"2,100,000"
Hyundai,Tucson,2005,Silver,Nigerian Used,189767,Automatic,"2,835,000"
Lexus,RX 350,2010,Black,Nigerian Used,265373,Automatic,"7,665,000"
Toyota,Camry,2004,XLE 4dr Sedan (2.4L 4cyl 4A),Gold,Nigerian Used,Automatic,"2,100,000"
Ford,Taurus,2011,Blue,Nigerian Used,191707,Automatic,"3,990,000"
Toyota,Tundra,2010,White,Foreign Used,135953,Automatic,"10,500,000"
Land Rover,Range Rover,2007,Black,Nigerian Used,191342,Automatic,"2,730,000"
Honda,Accord,2004,Silver,Nigerian Used,327769,Automatic,"1,456,000"
Honda,Pilot,2006,Gray,Nigerian Used,249996,Automatic,"2,392,000"
Toyota,Avalon,2008,Gray,Nigerian Used,250514,Automatic,"3,120,000"
Toyota,Corolla,2003,Liftback,Gray,Nigerian Used,Automatic,"2,100,000"
Lexus,ES,2003,Black,Nigerian Used,357310,Automatic,"2,142,000"
Honda,Accord,1996,Green,Nigerian Used,406099,Automatic,"735,000"
Toyota,Solara,2006,Black,Nigerian Used,257290,Automatic,"1,785,000"
Toyota,Camry,2008,Black,Nigerian Used,229901,Automatic,"3,640,000"
Toyota,Corolla,2005,White,Nigerian Used,244671,Automatic,"2,100,000"
Infiniti,QX4,2003,Silver,Nigerian Used,173781,Automatic,"2,625,000"
Lexus,ES,2009,Gray,Nigerian Used,291504,Automatic,"4,016,250"
Mercedes-Benz,GLK-Class,2010,White,Nigerian Used,149061,Automatic,"10,192,000"
Toyota,Highlander,2009,Hybrid Limited,Blue,Foreign Used,Automatic,"6,300,000"
Hyundai,Accent,2014,Gray,Nigerian Used,60439,Automatic,"2,730,000"
Opel,Astra,1999,Green,Foreign Used,253415,Manual,"2,100,000"
Toyota,Corolla,2013,Silver,Foreign Used,311915,Automatic,"6,448,000"
Lexus,ES,2005,Gray,Nigerian Used,192007,Automatic,"2,625,000"
Lexus,LS,2007,Blue,Foreign Used,219658,Automatic,"6,300,000"
Brand New,No faults,Suzuki,Baleno,2023,Brown,Automatic,"15,386,000"
Toyota,Venza,2010,Gray,Nigerian Used,425969,Automatic,"8,320,000"
Honda,Accord,2009,Red,Nigerian Used,106491,Automatic,"3,224,000"
Toyota,RAV4,2010,Gold,Nigerian Used,112763,Automatic,"3,906,000"
Volvo,S40,2010,Blue,Nigerian Used,180388,Automatic,"2,730,000"
Nissan,Murano,2006,Gray,Nigerian Used,52856,Automatic,"1,517,250"
Toyota,Highlander,2008,Gold,Nigerian Used,139415,Automatic,"6,448,000"
Toyota,RAV4,2015,Gray,Nigerian Used,97636,Automatic,"10,400,000"
Toyota,Camry,2002,Red,Nigerian Used,204715,Automatic,"1,580,000"
Toyota,Highlander,2003,Blue,Nigerian Used,143995,Automatic,"3,328,000"
Honda,Accord,2004,Silver,Nigerian Used,202366,Automatic,"1,028,998"
Toyota,Sienna,2010,Red,Foreign Used,274864,Automatic,"7,384,000"
BMW,325i,2003,Silver,Nigerian Used,271523,Automatic,"1,680,000"
Toyota,Camry,2012,Gray,Nigerian Used,121983,Automatic,"5,720,000"
Honda,Accord,2008,Black,Nigerian Used,248512,Automatic,"3,016,000"
Chevrolet,Uplander,2008,Silver,Nigerian Used,251212,Automatic,"1,995,000"
Toyota,Tundra,2006,Regular Cab,Black,Nigerian Used,Automatic,"7,280,000"
Toyota,Highlander,2005,Limited V6,Blue,Nigerian Used,Automatic,"3,024,000"
Toyota,Sienna,2014,LE 7-Passenger 4dr Minivan AWD (3.5L 6cyl 6A),Blue,Foreign Used,Automatic,"10,400,000"
Lexus,GS,2006,Silver,Foreign Used,300083,Automatic,"2,835,000"
Hyundai,Tucson,2008,Silver,Nigerian Used,211188,Automatic,"1,470,000"
Toyota,Highlander,2017,Red,Foreign Used,98564,Automatic,"17,325,000"
Infiniti,G,2011,Black,Nigerian Used,100541,Automatic,"2,730,000"
Toyota,Camry,2003,Black,Nigerian Used,382305,Automatic,"3,120,000"
Toyota,Avensis,2000,Green,Nigerian Used,233319,Automatic,"2,205,000"
Mercedes-Benz,C300,2008,Gray,Nigerian Used,251221,Automatic,"4,576,000"
Toyota,Corolla,2017,Blue,Foreign Used,120510,Automatic,"8,925,000"
Jeep,Grand Cherokee,2005,Red,Foreign Used,264493,Automatic,"3,570,000"
Toyota,Camry,2007,Silver,Nigerian Used,266254,Automatic,"3,960,000"
Toyota,Corolla,2006,Blue,Nigerian Used,327301,Automatic,"2,415,000"
Kia,Cerato,2013,Gray,Foreign Used,373500,Automatic,"6,825,000"
Peugeot,406,2002,Green,Nigerian Used,449965,Manual,"1,456,000"
Mazda,CX-7,2008,2.3,Red,Nigerian Used,Automatic,"2,100,000"
Toyota,Avensis,2012,Black,Nigerian Used,7669,Automatic,"3,150,000"
Toyota,Camry,2010,Beige,Nigerian Used,152031,Automatic,"3,066,000"
Mercedes-Benz,GLK-Class,2015,Base GLK 350 4dr 4x2 (3.5L 6cyl 7A),White,Foreign Used,Automatic,"12,048,750"
Volkswagen,Golf,1999,Silver,Foreign Used,169026,Manual,"1,995,000"
Toyota,Camry,1998,Gray,Nigerian Used,212412,Automatic,"945,000"
Toyota,Tacoma,2005,Black,Nigerian Used,92155,Automatic,"7,800,000"
Land Rover,Lr2,2008,SE,Gray,Nigerian Used,Automatic,"1,575,000"
Lexus,IS,2009,White,Nigerian Used,134709,Automatic,"5,512,000"
Infiniti,G35,2008,Gray,Nigerian Used,245408,Automatic,"3,150,000"
Toyota,4-Runner,2003,Black,Nigerian Used,203507,Automatic,"2,310,000"
Toyota,Corolla,2010,Gray,Nigerian Used,196334,Automatic,"2,682,750"
Honda,Accord,2004,Blue,Nigerian Used,247619,Automatic,"1,365,000"
Toyota,Camry,2008,White,Nigerian Used,132859,Automatic,"2,835,000"
Dodge,Grand Caravan,2010,Yellow,Foreign Used,138062,Automatic,"4,410,000"
Audi,A3,2007,Black,Foreign Used,341936,Automatic,"4,462,500"
Honda,Accord,2010,Green,Nigerian Used,139035,Automatic,"1,984,498"
Lexus,ES,2009,Black,Nigerian Used,69562,Automatic,"5,408,000"
Honda,CR-V,2004,Silver,Nigerian Used,216214,Automatic,"1,419,075"
Toyota,Camry,2011,LE 4dr Sedan (2.5L 4cyl 6A),Silver,Nigerian Used,Automatic,"3,952,000"
Audi,A4,2008,Gray,Foreign Used,117533,Automatic,"4,200,000"
Hyundai,Sonata,2015,Black,Foreign Used,66150,Automatic,"9,880,000"
Toyota,Sequoia,2007,White,Nigerian Used,170017,Automatic,"6,195,000"
Toyota,Sequoia,2001,SR5 4dr SUV 4WD (4.7L 8cyl 4A),Black,Nigerian Used,Automatic,"1,890,000"
Acura,MDX,2001,Green,Nigerian Used,402859,Automatic,"1,470,000"
Toyota,Camry,2005,Silver,Nigerian Used,213378,Automatic,"1,785,000"
Volkswagen,Passat,2006,Silver,Nigerian Used,229452,Automatic,"2,100,000"
Volkswagen,Golf,2003,Silver,Foreign Used,188680,Automatic,"3,465,000"
Toyota,Camry,2009,Gray,Nigerian Used,245097,Automatic,"2,730,000"
Ford,Explorer,2013,Brown,Nigerian Used,235451,Automatic,"4,908,750"
Toyota,Solara,2001,Black,Nigerian Used,207391,Automatic,"1,575,000"
Toyota,Camry,2003,Brown,Nigerian Used,450814,Automatic,"1,575,000"
Toyota,Highlander,2008,Gray,Nigerian Used,185440,Automatic,"4,935,000"
Nissan,Armada,2005,Silver,Nigerian Used,320860,Automatic,"3,675,000"
Lexus,ES,2011,350,White,Nigerian Used,Automatic,"3,990,000"
Toyota,Camry,2005,Black,Nigerian Used,214212,Automatic,"2,310,000"
Ford,Mustang,2016,Gray,Nigerian Used,128917,Automatic,"12,075,000"
Volkswagen,Touareg,2006,Silver,Nigerian Used,301019,Automatic,"1,785,000"
Toyota,Camry,1999,Red,Nigerian Used,298498,Automatic,"945,000"
Toyota,Camry,2003,LE 4dr Sedan (2.4L 4cyl 5M),Green,Nigerian Used,Automatic,"2,100,000"
Acura,MDX,2013,Blue,Nigerian Used,206311,Automatic,"3,675,000"
